candidato,origen,orden_clases,cantidad_reglas,antecedentes_promedio,antecedentes_max,cobertura_train,cobertura_val,cobertura_test,hard_ba_train,hard_ba_val,hard_ba_test,hard_f1_macro_val,hard_f1_macro_test,hard_acc_val,hard_acc_test,fuzzy_ba_train,fuzzy_ba_val,fuzzy_ba_test,fuzzy_f1_macro_val,fuzzy_f1_macro_test,fuzzy_acc_val,fuzzy_acc_test,gap_fuzzy_ba,reglas_por_clase,puntaje_pre_ag
39,bootstrap_033,"['mid risk', 'high risk', 'low risk']",23,3.0434782608695654,6,0.7740112994350282,0.7796610169491526,0.7269736842105263,0.5977371684918854,0.5886118489999983,0.5700846137828861,0.5598258612373317,0.5253130924724292,0.6045197740112994,0.5888157894736842,0.6349644852003343,0.6254746897057305,0.601212892907916,0.6067456745674568,0.5754149726242749,0.632768361581921,0.6052631578947368,0.009489795494603825,"{'bajo': 9, 'medio': 4, 'alto': 10}",0.6013758940297957
62,bootstrap_056,"['high risk', 'low risk', 'mid risk']",23,3.1739130434782608,5,0.864406779661017,0.8757062146892656,0.8848684210526315,0.6123856489422527,0.5856269967442592,0.5770611429213874,0.5667083826596765,0.5534027356993128,0.6101694915254238,0.6019736842105263,0.6688629766459955,0.6110905123008759,0.6255103337384736,0.6048344783284542,0.6098703843333674,0.632768361581921,0.6414473684210527,0.05777246434511962,"{'bajo': 9, 'medio': 5, 'alto': 9}",0.6005861015838058
75,bootstrap_069,"['mid risk', 'high risk', 'low risk']",19,2.8421052631578947,5,0.8097928436911488,0.807909604519774,0.8223684210526315,0.6118166424770198,0.5735115102201138,0.5897997782039844,0.5894783750820903,0.6082305084987447,0.5875706214689266,0.5986842105263158,0.6426859304217795,0.6168401199358672,0.6117089536004598,0.6117571059431525,0.606541194412672,0.632768361581921,0.6217105263157895,0.02584581048591228,"{'bajo': 7, 'medio': 3, 'alto': 9}",0.5995467425339535
30,bootstrap_024,"['low risk', 'mid risk', 'high risk']",19,3.0,6,0.6911487758945386,0.7062146892655368,0.694078947368421,0.5746278092976206,0.5846721149108861,0.5604251112472667,0.5620739666424945,0.5258048742170791,0.6101694915254238,0.5822368421052632,0.613465936579144,0.6255339465570923,0.6235455031090692,0.6340428812801382,0.6287956287793907,0.6271186440677966,0.6282894736842105,0.0,"{'bajo': 9, 'medio': 5, 'alto': 5}",0.5994771533152908
89,bootstrap_083,"['low risk', 'high risk', 'mid risk']",18,3.0,5,0.7627118644067796,0.7740112994350282,0.7796052631578947,0.6212121212121212,0.5704877177477656,0.5818060741772625,0.5548687029894638,0.5610948191593352,0.5988700564971752,0.6085526315789473,0.619101024761402,0.6182622843685505,0.6107250414620177,0.6211484593837534,0.6044913145369767,0.632768361581921,0.6217105263157895,0.0008387403928515891,"{'bajo': 8, 'medio': 3, 'alto': 7}",0.599202724596064
92,bootstrap_086,"['high risk', 'low risk', 'mid risk']",25,3.24,5,0.8097928436911488,0.8361581920903954,0.8486842105263158,0.6226689976689976,0.6072709849673833,0.6054316074622983,0.6028589111856982,0.586463172588279,0.632768361581921,0.6282894736842105,0.6382245898755333,0.6082055501660039,0.6092228956820295,0.6012246852764095,0.6015165165165165,0.632768361581921,0.625,0.03001903970952946,"{'bajo': 11, 'medio': 5, 'alto': 9}",0.5990443078276826
50,bootstrap_044,"['high risk', 'low risk', 'mid risk']",20,3.2,5,0.7702448210922788,0.7909604519774012,0.7828947368421053,0.587618749175353,0.5908094316590734,0.5869175609356945,0.567606110057484,0.5259111533451981,0.615819209039548,0.6052631578947368,0.6406160663236135,0.6125126767335592,0.6467073536621954,0.6173719107896324,0.632461878092817,0.632768361581921,0.6578947368421053,0.028103389590054206,"{'bajo': 7, 'medio': 3, 'alto': 10}",0.5988462914957949
94,bootstrap_088,"['mid risk', 'low risk', 'high risk']",18,2.611111111111111,5,0.8606403013182674,0.8192090395480226,0.8421052631578947,0.6000626731758808,0.5252696610000186,0.5500008980942441,0.4950980392156863,0.5223728316358472,0.5536723163841808,0.5756578947368421,0.6426694374807583,0.6273048798863623,0.6344899456686245,0.6069369435911697,0.6027699380630779,0.6384180790960452,0.6447368421052632,0.015364557594396033,"{'bajo': 8, 'medio': 2, 'alto': 8}",0.5970527425773844
27,bootstrap_021,"['mid risk', 'high risk', 'low risk']",27,3.1481481481481484,6,0.815442561205273,0.8305084745762712,0.8125,0.5928937414786472,0.5526835734928867,0.5688592140810533,0.5187892632781268,0.5181921410614901,0.576271186440678,0.5855263157894737,0.655896776179795,0.6252749094639963,0.6174377969947771,0.6208987353565667,0.6048000562232061,0.6440677966101694,0.6282894736842105,0.030621866715798696,"{'bajo': 11, 'medio': 3, 'alto': 13}",0.5965337970880694
107,bootstrap_101,"['low risk', 'high risk', 'mid risk']",23,2.9565217391304346,5,0.6384180790960452,0.5819209039548022,0.6085526315789473,0.6216794212077231,0.5620732448543889,0.5705453028673156,0.5270925072786021,0.5340493535928212,0.5875706214689266,0.5921052631578947,0.6444726656990808,0.6548576227167066,0.6373771523493813,0.6522904483430799,0.6395689926286875,0.6497175141242938,0.6381578947368421,0.0,"{'bajo': 9, 'medio': 3, 'alto': 11}",0.5960145955590194
