iteracion,algoritmo,accuracy_original,ba_original,accuracy_limpia,ba_limpia,delta_accuracy,delta_ba,reglas_originales,reglas_limpias,duplicadas_eliminadas,antecedentes_promedio,antecedentes_min,antecedentes_max,sin_activacion
17,RIPPER,0.32608695652173914,0.33060905880504016,0.32608695652173914,0.33060905880504016,0.0,0.0,33,27,6,6.0,6,6,541
18,GENETIC_ALGORITHM,0.5158102766798419,0.5181495040260328,0.5158102766798419,0.5181495040260328,0.0,0.0,368,158,210,6.0,6,6,33
18,PRISM,0.040513833992094864,0.04454232187924675,0.040513833992094864,0.04454232187924675,0.0,0.0,4,4,0,6.0,6,6,961
18,RIPPER,0.4723320158102767,0.4737845633302826,0.4723320158102767,0.4737845633302826,0.0,0.0,38,35,3,6.0,6,6,318
19,GENETIC_ALGORITHM,0.5197628458498024,0.5073997420750479,0.5197628458498024,0.5073997420750479,0.0,0.0,368,116,252,6.0,6,6,51
19,PRISM,0.021739130434782608,0.026027077497665734,0.021739130434782608,0.026027077497665734,0.0,0.0,2,2,0,6.0,6,6,990
19,RIPPER,0.4268774703557312,0.42445583844098694,0.4268774703557312,0.42445583844098694,0.0,0.0,35,30,5,6.0,6,6,363
20,GENETIC_ALGORITHM,0.5039525691699605,0.5054728161891819,0.5039525691699605,0.5054728161891819,0.0,0.0,368,107,261,6.0,6,6,59
20,PRISM,0.021739130434782608,0.026027077497665734,0.021739130434782608,0.026027077497665734,0.0,0.0,2,2,0,6.0,6,6,990
20,RIPPER,0.35079051383399207,0.35006898799123615,0.35079051383399207,0.35006898799123615,0.0,0.0,34,25,9,6.0,6,6,479
