id_global,iteracion_origen,id_origen,clase,precision,recall,f1,cobertura,aciertos,errores,antecedentes
RG2763,19,R141,high risk,0.05,0.003676470588235294,0.00684931506849315,20,1,19,edad=optima AND presion_sistolica=elevada AND presion_diastolica=normal AND azucar_sangre=normoglucemia AND temperatura_corporal=fiebre AND frecuencia_cardiaca=normal
RG2000,13,R090,high risk,0.037037037037037035,0.007352941176470588,0.012269938650306747,54,2,52,edad=muy_avanzada AND presion_sistolica=elevada AND presion_diastolica=elevada AND azucar_sangre=normoglucemia AND temperatura_corporal=normal AND frecuencia_cardiaca=normal
RG1119,7,R072,high risk,0.011764705882352941,0.007352941176470588,0.009049773755656108,170,2,168,edad=optima AND presion_sistolica=normal AND presion_diastolica=elevada AND azucar_sangre=normoglucemia AND temperatura_corporal=normal AND frecuencia_cardiaca=normal
RG2125,14,R081,high risk,0.0,0.0,0.0,120,0,120,edad=adolescente AND presion_sistolica=normal AND presion_diastolica=normal AND azucar_sangre=normoglucemia AND temperatura_corporal=normal AND frecuencia_cardiaca=normal
RG0756,5,R025,high risk,0.0,0.0,0.0,76,0,76,edad=adolescente AND presion_sistolica=elevada AND presion_diastolica=normal AND azucar_sangre=normoglucemia AND temperatura_corporal=normal AND frecuencia_cardiaca=normal
RG2077,13,R203,high risk,0.0,0.0,0.0,37,0,37,edad=optima AND presion_sistolica=normal AND presion_diastolica=hipertension AND azucar_sangre=hiperglucemia_gestacional AND temperatura_corporal=normal AND frecuencia_cardiaca=normal
RG1040,6,R182,high risk,0.0,0.0,0.0,27,0,27,edad=adolescente AND presion_sistolica=elevada AND presion_diastolica=normal AND azucar_sangre=hiperglucemia_gestacional AND temperatura_corporal=normal AND frecuencia_cardiaca=normal
RG0593,4,R015,high risk,0.0,0.0,0.0,18,0,18,edad=adolescente AND presion_sistolica=elevada AND presion_diastolica=elevada AND azucar_sangre=hiperglucemia_gestacional AND temperatura_corporal=normal AND frecuencia_cardiaca=normal
RG0155,1,R155,high risk,0.0,0.0,0.0,16,0,16,edad=optima AND presion_sistolica=normal AND presion_diastolica=normal AND azucar_sangre=normoglucemia AND temperatura_corporal=normal AND frecuencia_cardiaca=bradicardia
RG1366,8,R201,high risk,0.0,0.0,0.0,15,0,15,edad=muy_avanzada AND presion_sistolica=hipotension AND presion_diastolica=normal AND azucar_sangre=normoglucemia AND temperatura_corporal=normal AND frecuencia_cardiaca=normal
RG2288,15,R122,high risk,0.0,0.0,0.0,15,0,15,edad=adolescente AND presion_sistolica=normal AND presion_diastolica=hipertension AND azucar_sangre=normoglucemia AND temperatura_corporal=normal AND frecuencia_cardiaca=normal
RG2166,14,R141,high risk,0.0,0.0,0.0,14,0,14,edad=optima AND presion_sistolica=elevada AND presion_diastolica=hipertension AND azucar_sangre=normoglucemia AND temperatura_corporal=normal AND frecuencia_cardiaca=bradicardia
RG1251,8,R031,high risk,0.0,0.0,0.0,11,0,11,edad=adolescente AND presion_sistolica=normal AND presion_diastolica=normal AND azucar_sangre=normoglucemia AND temperatura_corporal=normal AND frecuencia_cardiaca=bradicardia
RG0337,2,R136,high risk,0.0,0.0,0.0,8,0,8,edad=adolescente AND presion_sistolica=normal AND presion_diastolica=normal AND azucar_sangre=hiperglucemia_gestacional AND temperatura_corporal=normal AND frecuencia_cardiaca=bradicardia
RG2196,14,R192,high risk,0.0,0.0,0.0,8,0,8,edad=adolescente AND presion_sistolica=elevada AND presion_diastolica=hipertension AND azucar_sangre=normoglucemia AND temperatura_corporal=normal AND frecuencia_cardiaca=normal
RG1421,9,R063,high risk,0.0,0.0,0.0,7,0,7,edad=optima AND presion_sistolica=elevada AND presion_diastolica=hipertension AND azucar_sangre=hiperglucemia_gestacional AND temperatura_corporal=normal AND frecuencia_cardiaca=bradicardia
RG1968,13,R046,high risk,0.0,0.0,0.0,7,0,7,edad=optima AND presion_sistolica=normal AND presion_diastolica=hipertension AND azucar_sangre=hiperglucemia_gestacional AND temperatura_corporal=normal AND frecuencia_cardiaca=bradicardia
RG2306,15,R149,high risk,0.0,0.0,0.0,7,0,7,edad=adolescente AND presion_sistolica=elevada AND presion_diastolica=normal AND azucar_sangre=hiperglucemia_gestacional AND temperatura_corporal=normal AND frecuencia_cardiaca=bradicardia
